,Department Name,Department ID,Total Dollars,Large Business Dollars,Small Business Dollars,Total Minority Owned Business Dollars,Asian-Pacific American Owned Dollars,Black American Owned Dollars,Hispanic American Owned Dollars,Native American Owned Dollars,Subcontinent Asian (Asian-Indian) Owned Dollars,Other Minority Owned Business Dollars,Percent of Asian-Pacific American Owned Dollars to Total Minority Owned Business Dollars,Percent of Black American Owned Dollars to Total Minority Owned Business Dollars,Percent of Hispanic American Owned Dollars to Total Minority Owned Business Dollars,Percent of Native American Owned Dollars to Total Minority Owned Business Dollars,Percent of Subcontinent Asian (Asian-Indian) Owned Dollars to Total Minority Owned Business Dollars,Percent of Other Minority Owned Business Dollars to Total Minority Owned Business Dollars
0,DEPARTMENT OF DEFENSE,9700,821990254534.56,628447428283.32,167672970513.81,64161513528.74,8984054744.64,10341104083.01,11326336754.52,22937851723.9,8034464388.26,2574745298.65,14.002248778959606,16.117300721682458,17.65285157970373,35.7501724357319,12.522248847295515,4.012912347363329
1,DEPARTMENT OF ENERGY,8900,108061316849.57,65205065800.66,4379958711.28,2302932719.87,226331449.22,336582345.13,535208799.53,794514593.27,135393375.96,275291384.23,9.827966195763477,14.615379000260157,23.240314183395352,34.500121797516094,5.879172013659303,11.953948192005374
2,DEPARTMENT OF VETERANS AFFAIRS,3600,106742918811.69,80351774358.26,24292265999.5,5309287351.23,871611035.8,1603480712.27,1931327319.55,203473987.33,464991516.5,234402779.78,16.41672371713078,30.201430176848927,36.37639464178879,3.8324161769632097,8.758077793477796,4.4149574937905
3,DEPARTMENT OF HEALTH AND HUMAN SERVICES,7500,84274247198.46,54684274795.46,19548996738.88,12956744922.06,1057690064.29,2146184719.93,2123004630.23,3273948592.25,4016478341.79,344968108.87,8.16323907472462,16.564227611488526,16.385323960614503,25.26829548581924,30.9991310776798,2.6624596759843704
4,DEPARTMENT OF HOMELAND SECURITY,7000,47599106752.65,26734710722.54,19060959313.63,9905854444.9,1189602796.38,1329917812.22,2036673358.03,2162933813.17,2749079907.37,437646757.73,12.009088191200544,13.425573933248172,20.560299662777453,21.834904047914616,27.752072500776098,4.418061664083114
7,DEPARTMENT OF STATE,1900,23957118819.44,15622994383.52,7716290382.8,5623816474.97,373216566.49,365526894.55,805205663.78,3171250958.49,676761540.98,231854850.68,6.636357501193012,6.4996234528074615,14.317779880686723,56.38965945287033,12.033848259310599,4.122731453131866
8,DEPARTMENT OF AGRICULTURE,1200,21576676401.2,8005207013.89,13152693156.2,3802660664.12,342631887.65,629725666.19,840360937.29,635526130.53,1103357697.29,251058345.17,9.010319823772411,16.560133070294064,22.09928814367331,16.71267006615936,29.01541301596354,6.602175880137312
9,DEPARTMENT OF THE TREASURY,2000,21499180934.62,13119324800.62,7910155718.98,2361212204.92,297289517.59,376942184.69,379115642.42,551328245.44,722406921.16,34129693.62,12.59054637150126,15.963926660406669,16.05597504663266,23.349373016589144,30.59474788647705,1.4454310183932129
10,DEPARTMENT OF JUSTICE,1500,20256418867.83,12141840733.42,6321734875.56,2920810055.26,226572399.89,602399471.76,426352319.87,1197494439.37,407938211.99,60076812.3,7.757176796963311,20.62439735425988,14.59705738489207,40.998709834399115,13.966612147727858,2.056854474045974
11,DEPARTMENT OF TRANSPORTATION,6900,19508622633.22,12128279744.12,6398834787.3,3579098852.24,913405914.09,589388433.37,661274548.3,572329313.81,812611856.11,30088786.56,25.5205556426121,16.467509216771923,18.47600682742075,15.990877520798408,22.704370280284998,0.8406805121118339
12,DEPARTMENT OF THE INTERIOR,1400,13952524690.36,5422920602.71,7351358980.56,3997826476.01,453711825.53,346027366.84,558610750.12,2075859509.76,456711207.98,106905815.78,11.348962448786008,8.655387344008734,13.972861340333036,51.92470264071579,11.423987777373897,2.6740984487825123
14,DEPARTMENT OF COMMERCE,1300,9718747122.3,4295677342.69,4924901483.94,2899161595.95,656550188.57,343963169.09,330433678.91,524524678.54,968487092.86,75202787.98,22.646208803509662,11.864228940204688,11.39755987978046,18.092288448934262,33.40576441868344,2.5939495088874995
15,DEPARTMENT OF EDUCATION,9100,5855470472.86,3742859449.38,803302206.56,446429197.27,87121073.07,78291252.66,30196705.85,35328073.06,188966684.83,26525407.8,19.51509300976774,17.53721601068344,6.764052627977435,7.913477271656499,42.32847806227,5.941683017644891
16,DEPARTMENT OF LABOR,1600,5057767899.09,2660698478.5,2114231973.44,1672711984.82,198322101.7,536521781.59,317436402.47,277546296.05,320871630.44,22013772.57,11.856320962591857,32.07496487494438,18.977349678292597,16.5925932598532,19.182718444773318,1.3160527795446444
20,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,8600,1479384854.52,1124737192.92,318794184.42,606447091.45,111943166.64,158250300.99,118382567.5,51183775.27,159928176.03,6759105.02,18.458851269670806,26.09465907596777,19.520675285448267,8.439940761793558,26.37133202298253,1.1145415841370672
