,Department Name,Department ID,Total Dollars,Large Business Dollars,Small Business Dollars,Total Minority Owned Business Dollars,Asian-Pacific American Owned Dollars,Black American Owned Dollars,Hispanic American Owned Dollars,Native American Owned Dollars,Subcontinent Asian (Asian-Indian) Owned Dollars,Other Minority Owned Business Dollars,Percent of Minority Owned Business Contracting to Total Contracting Dollars,Percent of Asian-Pacific American Owned Dollars to Total Minority Owned Business Dollars,Percent of Black American Owned Dollars to Total Minority Owned Business Dollars,Percent of Hispanic American Owned Dollars to Total Minority Owned Business Dollars,Percent of Native American Owned Dollars to Total Minority Owned Business Dollars,Percent of Subcontinent Asian (Asian-Indian) Owned Dollars to Total Minority Owned Business Dollars,Percent of Other Minority Owned Business Dollars to Total Minority Owned Business Dollars
0,DEPARTMENT OF DEFENSE,9700,2625396668654.83,2078470853999.81,460231206304.76,197179223574.97,28880307874.67,33876113820.44,42155071204.76,59009960466.58,20783431257.48,12957774005.63,7.510454550702176,14.646729686350218,17.180366778125524,21.3790633924127,29.92706807375356,10.540375847244311,6.57157167509755
1,DEPARTMENT OF ENERGY,8900,213713392227.36,148171677891.6,11942638288.02,6318538252.07,1229136719.88,1291741426.58,984915222.36,2249589240.97,329918628.72,234465625.73,2.956547638974348,19.452865059055803,20.44367502494451,15.587706888335044,35.60300106172527,5.221439129721439,3.7107573995170053
2,DEPARTMENT OF HEALTH AND HUMAN SERVICES,7500,166802791719.26,108432864820.34,36421287872.7,19794086538.64,3061055385.09,4685996445.38,4261571217.42,3607156139.71,3595720255.63,595127805.0,11.866759743418886,15.464494302955176,23.67371909904746,21.529516954980444,18.22340289696358,18.165628651823873,3.006593933184298
3,DEPARTMENT OF VETERANS AFFAIRS ,3600,148221507576.41,91805246898.21,49202315334.86,12603353799.03,937427506.16,4274563710.07,3812058066.09,1278151587.78,1528442486.91,773042585.94,8.503053305224828,7.437921057426379,33.9160812132322,30.24637828054458,10.1413608485574,12.127267958054423,6.133626003576097
5,DEPARTMENT OF HOMELAND SECURITY ,7000,106027476137.09,68633589248.91,34150563974.29,18549739913.21,2253108527.18,2859489683.67,5173618428.43,4203715376.0,3418583031.73,647838522.32,17.49521971948649,12.146307914406243,15.415254860978644,27.890517347608,22.66185615360768,18.429277433132594,3.4924399228834946
7,DEPARTMENT OF THE TREASURY,2000,69068379412.59,23002409783.88,44901637519.65,3547125731.92,699847921.08,1147332028.3,484112077.13,391758104.79,564815769.44,259296865.08,5.1356724482135725,19.73000039953994,32.345400614794904,13.648010071183977,11.044381688098435,15.923195627302297,7.3100556528524
8,DEPARTMENT OF STATE,1900,67071898996.11,50766133032.88,14730114371.44,10385417647.41,1632391801.51,1406211576.88,1994349925.41,2962794955.5,1980702353.24,411024377.06,15.484007166715719,15.718114157085433,13.54025061506017,19.203367578648773,28.52841412919861,19.07195666544969,3.9577067674548903
9,DEPARTMENT OF JUSTICE,1500,58097243093.12,36211351970.6,15270453127.4,6644150983.15,540754575.53,1645105406.85,1879206385.76,1617852806.26,575326807.33,386986949.08,11.436258640535756,8.138806250812012,24.76020504383622,28.28361954034142,24.350030731736535,8.659147102301954,5.824475543397857
10,DEPARTMENT OF TRANSPORTATION,6900,51936988990.41,32520550417.8,16471662933.94,8405218354.19,2328387573.91,1757765341.02,1530154553.03,1297041877.96,1220172832.34,271734375.93,16.183491799538082,27.701690495039895,20.91278616389251,18.204816205247283,15.431388255528484,14.516848711393013,3.2329246484660388
11,DEPARTMENT OF AGRICULTURE,1200,44915520216.03,19607123914.36,24403452388.88,6043156128.89,623177709.28,1286808590.87,1446719789.83,1107427427.87,1252444929.43,335862298.35,13.454494348110089,10.31212326785382,21.29365125481806,23.939804945859173,18.32531551809188,20.72501359748995,5.5577299541273115
13,DEPARTMENT OF THE INTERIOR,1400,34853837966.87,17167770576.43,16185353562.63,7153034372.53,628086351.39,963106310.33,1539300960.36,2743313097.9,943254660.98,337956733.01,20.522946079365063,8.780698074121633,13.46430424029059,21.51955212561848,38.35173934624476,13.186776574182385,4.72466250557756
14,DEPARTMENT OF COMMERCE,1300,23270073348.39,10702524727.1,11437054831.5,5593518630.29,1645658243.66,1024207969.11,751350221.63,765804505.59,1218225793.24,190500718.95,24.037391487968826,29.420805622214935,18.310620502159644,13.432514867498451,13.69092616305984,21.779239040039457,3.4057403137696056
15,DEPARTMENT OF EDUCATION,9100,18402961396.04,11933755052.86,3859146922.58,1032405541.28,126218090.61,266592775.19,206923860.57,22995253.08,368760381.27,41002126.56,5.609996777486888,12.225630875005953,25.82248588664801,20.04288550344771,2.2273469252683356,35.71855889235178,3.9715136078371516
16,DEPARTMENT OF LABOR,1600,15950768347.88,8702610171.45,5625454189.74,3524260309.36,433247251.87,1144708842.0,418054599.9,1053935982.09,339184499.55,135129133.95,22.094611572917778,12.293281819147944,32.48082552130995,11.862194140134843,29.90516844884801,9.624274876891695,3.8342551936675533
19,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,8600,10567067191.4,6452122212.34,3954422177.53,3471095286.07,462816134.86,1237071324.67,1240896925.33,61408961.34,433855244.73,21938257.6,32.848237104945724,13.333432150864516,35.639221130994116,35.74943420049274,1.7691522784304687,12.499087722285324,0.6320269480368734
