,Department Name,Department ID,Total Dollars,Large Business Dollars,Small Business Dollars,Total Minority Owned Business Dollars,Asian-Pacific American Owned Dollars,Black American Owned Dollars,Hispanic American Owned Dollars,Native American Owned Dollars,Subcontinent Asian (Asian-Indian) Owned Dollars,Other Minority Owned Business Dollars,Percent of Minority Owned Business Contracting to Total Contracting Dollars,Percent of Asian-Pacific American Owned Dollars to Total Minority Owned Business Dollars,Percent of Black American Owned Dollars to Total Minority Owned Business Dollars,Percent of Hispanic American Owned Dollars to Total Minority Owned Business Dollars,Percent of Native American Owned Dollars to Total Minority Owned Business Dollars,Percent of Subcontinent Asian (Asian-Indian) Owned Dollars to Total Minority Owned Business Dollars,Percent of Other Minority Owned Business Dollars to Total Minority Owned Business Dollars
0,DEPARTMENT OF DEFENSE,9700,1504818923500.49,1163404575577.8,294159495492.21,115637267345.14,16219838226.22,20165745428.52,23898021449.84,35133755047.68,13455307568.23,6768193533.15,7.684463927137898,14.026480042812675,17.43879450932695,20.666366473804768,30.382726826998653,11.635788251611169,5.852951810897712
1,DEPARTMENT OF VETERANS AFFAIRS,3600,125820766976.95,87317780401.96,34455998782.14,8501026308.2,959516697.7,2447019718.42,2801027645.01,505472549.9,1076076135.15,712037190.18,6.756457230750598,11.287068912778924,28.784991713996117,32.949288044293645,5.946017946238167,12.65819085999097,8.375896796051277
2,DEPARTMENT OF ENERGY,8900,125718563365.26,79088817802.3,6211837841.25,3633477295.15,838844687.93,531251595.38,968032410.51,994557219.19,170281861.23,131142179.76,2.890167687164364,23.086553727738927,14.621024220768344,26.64203824259859,27.37204992356893,4.686471041316092,3.6092747830033183
3,DEPARTMENT OF HEALTH AND HUMAN SERVICES,7500,118505882134.33,78971664096.52,27536846429.25,15211492116.43,1658412446.0,3587846680.23,1881678757.43,2895993988.9,4818904831.26,368707031.62,12.836065047967251,10.902365351843041,23.586421718318814,12.370112958199481,19.03819800670326,31.679369744767378,2.4238715623548717
5,DEPARTMENT OF HOMELAND SECURITY,7000,71163341572.84,42918868274.1,26164198316.44,13292687829.41,1537358555.07,1745573892.5,3558463630.27,2796638072.47,2930031918.33,726852615.57,18.679122615123585,11.565445414798672,13.131835448944548,26.770083492045295,21.038920859048936,22.042433824762817,5.468063531604515
7,DEPARTMENT OF STATE,1900,38584119823.36,26703756342.42,11130343828.34,7505300710.58,767356278.32,825826438.02,1395382519.23,2751451426.83,1541001231.28,224490456.77,19.451786758230163,10.224190980626274,11.003242506404266,18.59196017639867,36.66010907399567,20.53217173707239,2.9910921017933694
8,DEPARTMENT OF JUSTICE,1500,34557463289.19,20162361476.15,10285199678.28,4848151246.32,384285435.99,1045955616.65,1052138522.76,1584170358.64,609800449.13,171915536.12,14.029245161164827,7.926432499020998,21.574319024059633,21.701850237420466,32.675761917338455,12.577999698191562,3.54600191672017
9,DEPARTMENT OF AGRICULTURE ,1200,33771759622.08,13815429384.0,19339443924.24,5253303370.01,402036005.96,700932786.75,1562603546.05,957263430.33,1287046046.71,343491864.3,15.555314347835719,7.653013306924908,13.342705291902183,29.745161015649195,18.22212354601135,24.49974722681112,6.538588010373101
10,DEPARTMENT OF TRANSPORTATION,6900,28790457610.11,17300877694.39,9777415922.89,5104662991.69,1397941121.24,996341588.81,762965939.7,833079557.13,1017099927.65,97234857.16,17.73039894266028,27.385571261329904,19.518263799823178,14.946450743997207,16.319971729498885,19.924918242512007,1.9048242228388221
12,DEPARTMENT OF THE TREASURY,2000,21617629918.81,11489082855.58,9512656382.7,2416026040.03,347861507.54,559399967.56,356561247.35,297052558.52,769423823.84,85986497.82,11.1761837403265,14.398086021278173,23.153722612735322,14.75817070852318,12.295089274630145,31.846669327721568,3.559005424417209
13,DEPARTMENT OF COMMERCE,1300,18581618741.43,9171696668.01,8657852193.28,3815854782.35,753280161.8,478535698.94,535614688.87,653913428.36,1308681119.71,85947162.9,20.53564242948373,19.74079740361847,12.54072091929277,14.036558501844793,17.136748268949752,34.295883736541114,2.2523698568809087
14,DEPARTMENT OF THE INTERIOR,1400,17129888191.51,7544860588.53,8911117398.13,4015441143.32,444456490.72,368845626.06,701180812.88,1544761869.69,698441877.89,258777846.17,23.441140411588634,11.068683984059586,9.185681296153563,17.46211158010544,38.4705394638851,17.393901515700524,6.444568278643484
15,DEPARTMENT OF EDUCATION,9100,11072090383.03,6553255826.95,2568367524.06,1076541087.52,72623328.54,140962163.65,325734342.27,31434279.18,274577197.79,231224380.89,9.723015711378185,6.745987624801251,13.093988263349141,30.257492820862588,2.919933065668152,25.505500995093133,21.478453871432407
16,DEPARTMENT OF LABOR,1600,8334755297.25,4563972496.45,3249798494.01,2621857884.62,536548357.28,738427692.52,315140779.72,647777183.29,337011914.42,46951957.39,31.45692694163517,20.46443327181957,28.164291316156685,12.019750634412251,24.706799979125712,12.853935234130548,1.7907895643552398
19,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,8600,4080669141.7,2679257112.52,1324476440.29,898947805.3,153304999.01,453131302.04,54940491.98,51725089.7,173344639.85,12501282.72,22.029421501334944,17.053826496504822,50.406853364393,6.11164426411443,5.753959172606036,19.283059464409153,1.3906572379725683
79,Total,,2348289350626.27,1692111787130.38,518222390563.98,219092846414.5,29902503315.56,39498390114.6401,45609203899.75,56700338659.78,35026129126.42,12371672178.9,9.329891410360895,13.648324810654792,18.02815142577198,20.81729488030034,25.879593783043507,15.986888526772958,5.646771394577681
